building_id,image_path,image_type,caption,sort_order,is_cover
1,/image/1/1.1.jpg,全景,佛光寺东大殿航拍全景,1,1
1,/image/1/1.2.jpg,结构,佛光寺梁架结构,2,0
1,/image/1/1.3.jpg,其他,斗拱细部与木材,3,0
1,/image/1/1.4.jpg,其他,佛光寺内部彩塑,4,0
2,/image/2/2.1.jpg,全景,应县木塔全貌,1,1
2,/image/2/2.2.jpg,结构,木塔斗拱与层叠结构,2,0
2,/image/2/2.3.jpg,其他,木塔用材与防腐工艺,3,0
2,/image/2/2.4.jpg,其他,木塔历史与宗教意义,4,0
3,/image/3/3.1.jpg,全景,赵州桥全景,1,1
3,/image/3/3.2.jpg,结构,敞肩石拱结构,2,0
3,/image/3/3.3.jpeg,其他,石料与砌筑工艺,3,0
4,/image/4/4.1.jpg,全景,园林空间布局,2,1
4,/image/4/4.2.jpg,结构,江南园林用材与工艺,3,0
4,/image/4/4.3.jpg,其他,拙政园春季繁花,4,0
5,/image/5/5.1.jpg,全景,福建土楼群全景,1,1
5,/image/5/5.2.jpg,结构,土楼夯土结构与布局,2,0
5,/image/5/5.3.jpg,其他,土楼“四菜一汤”,4,0
6,/image/6/6.1.jpg,全景,北京故宫全景,1,1
6,/image/6/6.2.jpg,结构,故宫结构体系,2,0
6,/image/6/6.3.jpg,其他,故宫角楼雪景,4,0
7,/image/7/7.1.jpg,全景,布达拉宫红白宫全景,1,1
7,/image/7/7.2.jpg,结构,藏式建筑结构与布局,2,0
7,/image/7/7.3.jpg,其他,藏式石墙与夯土工艺,3,0
8,/image/8/8.1.jpg,全景,天坛祈年殿全景,1,1
8,/image/8/8.2.jpg,结构,祈年殿结构体系,2,0
8,/image/8/8.3.jpg,其他,天坛回音壁风景,3,0
9,/image/9/9.1.jpg,全景,西安大雁塔全景,1,1
9,/image/9/9.2.jpg,结构,楼阁式砖塔结构,2,0
9,/image/9/9.3.jpg,其他,大雁塔局部,3,0
9,/image/9/9.4.jpg,其他,大雁塔与玄奘取经文化,4,0
10,/image/10/10.1.jpg,全景,晋祠圣母殿全景,1,1
10,/image/10/10.2.jpg,结构,宋代木构殿宇结构,2,0
10,/image/10/10.3.jpg,其他,宋代彩塑与木雕工艺,3,0
10,/image/10/10.4.jpg,其他,晋祠博物馆,4,0
11,/image/11/11.1.jpg,全景,曲阜孔庙大成殿全景,1,1
11,/image/11/11.2.jpg,结构,孔庙建筑礼制格局,2,0
11,/image/11/11.3.jpg,其他,孔庙建筑用材与工艺,3,0
11,/image/11/11.4.jpg,其他,孔庙与儒家文化传承,4,0
12,/image/12/12.1.jpg,全景,承德避暑山庄全景,1,1
12,/image/12/12.2.jpg,结构,山庄园林布局与建筑,2,0
12,/image/12/12.3.jpg,其他,皇家园林用材与工艺,3,0
12,/image/12/12.4.jpg,其他,避暑山庄历史文化,4,0
13,/image/13/13.1.jpg,全景,苏州留园航拍全景,1,1
13,/image/13/13.2.jpg,结构,留园空间布局,2,0
13,/image/13/13.3.jpg,其他,苏州留园红枫与园林建筑,3,0
13,/image/13/13.4.jpg,其他,留园文化新春插花展,4,0
14,/image/14/14.1.jpg,全景,悬空寺全貌,1,1
14,/image/14/14.2.jpg,结构,悬空寺支撑结构,2,0
14,/image/14/14.3.jpg,其他,悬空寺木材与石材工艺,3,0
15,/image/15/15.1.jpg,全景,明孝陵航拍全景,1,1
15,/image/15/15.2.jpg,结构,明孝陵陵宫遗址布局,2,0
15,/image/15/15.3.jpg,其他,明孝陵山碑材,3,0
16,/image/16/16.1.jpg,全景,永乐宫全景建筑航拍,1,1
16,/image/16/16.2.jpg,结构,木构殿宇结构,2,0
16,/image/16/16.3.jpg,其他,永乐宫壁画绘制工艺,3,0
17,/image/17/17.1.jpg,全景,丽江古城全景,1,1
17,/image/17/17.2.jpg,结构,古城水系与街巷布局,2,0
17,/image/17/17.3.jpg,其他,纳西族传统建筑与工艺,3,0
18,/image/18/18.1.jpg,全景,安徽宏村徽派建筑全景,1,1
18,/image/18/18.2.jpg,结构,宏村水系与村落布局,2,0
18,/image/18/18.3.jpg,其他,徽派建筑砖雕木雕工艺,3,0
19,/image/19/19.1.jpg,全景,颐和园远看全景,1,1
19,/image/19/19.2.jpg,结构,颐和园园林建筑布局,2,0
19,/image/19/19.3.jpg,其他,皇家园林长廊彩画与工艺,3,0
20,/image/20/20.1.jpg,全景,南禅寺大殿全景,1,1
20,/image/20/20.2.jpg,结构,唐代木构殿宇结构,2,0
20,/image/20/20.3.jpg,其他,南禅寺木材与彩绘工艺,3,0
21,/image/21/21.1.jpg,全景,广州陈家祠全景,1,1
21,/image/21/21.2.jpg,结构,祠堂建筑布局,2,0
21,/image/21/21.3.jpg,其他,陈家祠雕刻与装饰工艺,3,0
22,/image/22/22.1.jpg,全景,都江堰水利工程全景航拍,1,1
22,/image/22/22.2.jpg,结构,都江堰水利工程结构,2,0
22,/image/22/22.3.jpg,其他,古代水利工程技术,3,0
23,/image/23/23.1.jpg,全景,莫高窟九层楼全景,1,1
