building_id,section_type,title,content,sort_order
1,history,历史沿革,"""佛光寺东大殿位于山西省五台县豆村镇佛光山腰，是佛光寺的正殿，也是中国现存规模最大、保存最完整的唐代木结构建筑。始建于北魏孝文帝时期（471-499年），初为三层七间，后毁于火灾。唐大中十一年（857年），由长安宁公遇出资，在佛光寺旧址上重建，成为唐代木构建筑的典范。1937年6月，梁思成、林徽因夫妇与莫宗江、纪玉堂等中国营造学社成员，根据法国汉学家伯希和所著《敦煌石窟图录》中第61窟壁画《五台山图》的线索，历尽艰辛发现此殿，确证其唐代身份，打破了日本学者“中国已无唐代木构建筑”的论断。殿内还存有唐代塑像、壁画、题记，与建筑本身并称“四绝”。1961年被列为第一批全国重点文物保护单位，2009年作为五台山的一部分被列入世界文化遗产名录。佛光寺的发现，填补了中国建筑史的重要空白，使唐代建筑实物得以重见天日。殿内梁下保留有唐代题记“敕河东节度观察处置等使检校部工部尚书兼御史大夫郑……”，以及“佛殿主上都送供女弟子宁公遇”等墨书，确证建造年代。这些题记为研究唐代官制、地名、人名提供了第一手资料。""",1
1,structure,结构成就,"""大殿面阔七间（34米），进深四间（17.66米），单檐庑殿顶，出檐深远达3.96米，是中国现存木构建筑中出檐最深的实例。采用金厢斗底槽布局，即内外两圈柱网，外圈檐柱、内圈金柱，内外柱等高，形成规整的柱网。檐柱有侧脚和升起，增强稳定性，柱头卷杀圆和。梁架结构为彻上明造（无天花板），梁栿、驼峰、叉手等构件暴露在外，加工规整，展现了唐代木作的高超技艺。斗拱雄大，共计七铺作，双抄双下昂，补间铺作每间一朵，斗拱总高约为柱高的一半，使屋檐显得深远而舒展。整体比例雄浑豪放，体现了唐代建筑雄健沉稳之美。其结构设计科学，抗震性能优异，历经千年多次地震仍安然无恙。殿顶举折平缓，脊饰简洁，正脊两端设高大的琉璃鸱尾，高达3米余，为唐代原物。殿身四周有檐柱22根，内柱14根，柱网布局严谨。殿前月台宽敞，与殿身相连，月台两侧有唐代石灯一座。""",2
1,material,材料与工艺,"""主要材料为当地松木，梁柱用材硕大，其中内柱直径达60厘米以上，最大者达70厘米。斗拱、梁架等所有构件均采用榫卯连接，未用一钉一铆，展现了唐代高超的木作工艺。殿内还保存有30余尊唐代彩塑，面相丰满，衣纹流畅，为唐代雕塑珍品，其中主像释迦牟尼佛高达5.3米，左右有弥勒佛、阿弥陀佛，两侧为普贤、文殊菩萨，以及弟子、菩萨、天王等。佛坛上还有宁公遇等供养人像。拱眼壁残存有唐代壁画，以土红、石绿绘制，虽斑驳但可见唐风，内容为佛像和菩萨像，是除敦煌外罕见的唐代寺观壁画。殿门为板门，门钉整齐，每扇九行九列。台基用条石砌筑，前设月台，月台两侧有石灯，高约4米，雕刻精美。梁下唐代题记墨迹清晰，为研究唐代书法提供了实物资料。""",3
1,culture,文化价值,"""作为中国现存最早的唐代木结构建筑，佛光寺东大殿被梁思成誉为“中国第一国宝”。其建筑形制、雕塑、壁画、题记均为唐代原物，具有极高的历史、艺术、科学价值。它是研究唐代建筑技术、佛教艺术、社会历史的珍贵实物，也是中国建筑史上最重要的实例之一。佛光寺的发现，改变了中国建筑史的研究格局，使唐代建筑有了确切的标尺。殿内唐代彩塑与敦煌唐代塑像风格一致，是除敦煌外罕见的唐代佛教雕塑群，其写实风格、丰腴体态、流畅衣纹，体现了唐代雕塑的巅峰水平。东大殿的建筑形制为后世研究唐代官式建筑提供了唯一实例，其斗拱、梁架、屋顶等做法，在宋《营造法式》中均有记载，可相互印证。佛光寺作为五台山佛教圣地的重要组成部分，见证了唐代佛教的兴盛和中外文化交流，其历史价值不可估量。""",4
2,history,历史沿革,"""应县木塔，全称佛宫寺释迦塔，位于山西省应县佛宫寺内，建于辽清宁二年（1056年），由辽兴宗下令修建，作为礼佛和军事瞭望之用。金代、元代、明代多次修缮，现存碑刻记载了历代维修情况，如金明昌四年（1193年）增修，元延祐七年（1320年）大修，明正德三年（1508年）重修等。木塔历经多次大地震（如元大德九年1305年地震、明万历年间地震、清康熙年间地震等）和战争（1926年军阀混战中弹多发），至今依然屹立不倒，堪称建筑奇迹。20世纪30年代，中国营造学社曾进行测绘调查，梁思成先生亲自测绘并给予高度评价。1961年被列为第一批全国重点文物保护单位。2012年，应县木塔被列入世界文化遗产预备名单。木塔与意大利比萨斜塔、法国埃菲尔铁塔并称世界三大奇塔。塔内一层有辽代壁画，内容为天王、弟子等，风格古朴。塔身内外悬挂有明清匾联数十块，如明成祖朱棣题“峻极神工”，明武宗朱厚照题“天下奇观”等。""",1
2,structure,结构成就,"""木塔高67.31米，是世界上现存最高最古老的木结构塔式建筑。塔身采用八角形平面，明五暗四共九层，即外观五层六檐，内部四层暗层，形成结构加强层。内外两槽立柱，构成双层套筒式结构，大大增强了稳定性和抗震性。全塔使用54种斗拱，共计480朵，形式多样，结构精巧，被誉为“斗拱博物馆”。暗层内设有斜撑，类似现代桁架，使整体刚度极大提升。塔顶铁刹由砖砌刹座和铁铸刹杆组成，高约10米，刹杆穿入塔身，与塔心柱相连，起到稳定作用。塔身各层均设平座、栏杆，可供凭眺。底层重檐，南面开门，各层设木质楼梯上下。塔内各层均有塑像，底层释迦牟尼坐像高达11米，面容丰满，衣纹流畅，为辽代原作。二层塑像为四方佛，三层为四方佛和菩萨，四层为佛像和弟子，五层为毗卢遮那佛。各层塑像风格统一，是辽代雕塑的珍品。""",2
2,material,材料与工艺,"""主体为华北落叶松，各构件通过榫卯连接，不用一钉一铆。塔基采用石砌，高4.4米，分上下两层，下层为方形，上层为八角形，每面均有雕刻。塔身木构件加工精度极高，历经千年仍紧密稳固。塔内一层存有辽代壁画和11米高的释迦牟尼塑像，塑像为木骨泥胎，外施彩绘，线条流畅，色彩鲜艳。各层均有泥塑佛像，部分为后代补塑。塔身木材表面施有彩绘，但已斑驳。底层墙体内嵌有石碑，记载历代修缮情况，如金代《释迦塔》碑、明代《重修佛宫寺释迦塔记》碑等。塔身用材量巨大，据估算，木塔共用木材约3000立方米，重约2600吨。""",3
2,culture,文化价值,"""应县木塔是世界木结构建筑的奇迹，展现了辽代建筑技术的巅峰。它是研究中国木结构建筑、古代工程技术、佛教艺术以及辽代社会历史的宝贵实物。木塔的结构设计，如双层套筒、斜撑应用，对现代高层建筑仍有借鉴意义。其近千年的屹立，证明了古代匠师的非凡智慧。塔内辽代壁画和塑像，是研究辽代佛教艺术的珍贵资料。木塔所在佛宫寺，也是辽代佛教寺院布局的重要实例，其前塔后殿的格局，反映了辽代佛教建筑的特点。木塔的建筑形制、斗拱组合，为研究辽代建筑提供了标准范式。2016年，应县木塔被吉尼斯世界纪录认证为世界最高木塔。木塔历经千年风雨、地震、战争而不倒，其抗震、抗风性能令现代工程师叹服。""",4
3,history,历史沿革,"""赵州桥，又名安济桥，位于河北省赵县城南洨河上，建于隋开皇至大业年间（595-605年），由著名工匠李春设计建造。它是世界上现存年代最久、跨度最大的单孔敞肩石拱桥。历经1400余年，至今仍在使用，期间经历了10次水灾、8次战乱和多次地震，尤其是1966年邢台7.6级地震，桥身安然无恙。历代均有修缮，但桥体主体结构和主要构件仍为隋代原物。唐代中书令张嘉贞在《安济桥铭》中记载：“赵州洨河石桥，隋匠李春之迹也，制造奇特，人不知其所以为。”宋代治平三年（1066年）曾修缮，明代嘉靖年间（1522-1566年）重修，清代乾隆年间（1736-1795年）也有修缮。1991年，美国土木工程师学会将其选定为国际土木工程历史古迹。1961年被列为第一批全国重点文物保护单位。赵州桥的建造，开创了中国桥梁史上的新纪元，对后世石拱桥产生了深远影响。""",1
3,structure,结构成就,"""桥长50.82米，跨径37.02米，拱高7.23米，矢跨比约1:5，桥面宽9米。首创“敞肩拱”结构，在主拱两端各设两个小拱（净跨分别为3.8米和2.85米），既减轻桥身自重约500吨，又利于泄洪，增加了桥梁的稳定性。桥身线条优美，弧度平缓，主拱由28道拱圈纵向并列砌筑而成，每道拱圈可独立承重，便于维护。桥面两侧栏板和望柱雕刻精美，有龙兽、竹节等图案，刀法苍劲，为隋代石刻精品。桥台为低拱脚、浅基础、短桥台，直接建在天然地基上，体现了隋代高超的地基处理技术。桥面两侧设地袱，上立望柱，柱间施栏板，栏板上有饕餮、蛟龙、花鸟等浮雕。桥两端还设有华表和石狮。""",2
